Index,model_name,brand_En,brand_Ch,model,price_interval,price,type,screen,tag,device,pixel
1,SAMSUNG:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
2,A7LTECTC:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
3,HUAWEI:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
4,OPPO:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
5,XIAOMI:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
6,VIVO:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
7,LENOVO:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
8,BBK:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
9,TCL:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
10,SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
11,SAMSUNG:A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
12,HISENSE:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
13,SAMSUNG:SM-A720F,samsung,三星,Galaxy A7（2017）,,,手机,6.0-5.6英寸,摄影,8核芯片,1920x1080
14,SAMSUNG:SM-A720,samsung,三星,Galaxy A7（2017）,,,手机,6.0-5.6英寸,摄影,8核芯片,1920x1080
15,SAMSUNG:SM-A520F,samsung,三星,Galaxy A5（2017）,,,手机,5.5-5.1英寸,摄影,8核芯片，指纹识别，双卡双待,1920x1080
16,:ASUS_X00GD,ASUS,华硕,飞马3s,1000-1999,1999,手机,5.5-5.1英寸,摄影,8核芯片，指纹识别,1280x720
17,NOKIA:TA-1000,Nokia,诺基亚,Nokia 6,1000-1999,1899,手机,5.5-5.1英寸,摄影,8核芯片，指纹识别,1920x1080
18,NOKIA:TA-1003,Nokia,诺基亚,Nokia 6,1000-1999,1899,手机,5.5-5.1英寸,摄影,8核芯片，指纹识别,1920x1080
85431,Yunos:10MOONS_ELF6,10MOONS,10MOONS,T2,1-499,,智能电视,,,,
85432,MBX:BesTV_R1229,Bestv,Bestv,小红盒,,,智能电视,,,,
85433,softwinners:DIYOMATE_A20,DiyoMate,迪优美特,DIYOMATE_A20,1-499,,智能电视,,,,
