tagId,parentId,name,code,isLeaf
115,1,游戏偏好,1,0
125,1,应用兴趣,2,0
302,1,人口属性,3,0
312,1,消费偏好,4,0
405,1,定制标签,5,0
408,1,地理位置,6,0
524,1,游戏深度标签,7,0
548,1,行业标签,8,0
591,1,设备属性,9,0
5,2,休闲时间,10101,0
15,2,跑酷竞速,10102,0
21,2,宝石消除,10103,0
28,2,网络游戏,10104,0
34,2,动作射击,10105,0
41,2,扑克棋牌,10106,0
48,2,儿童益智,10107,0
53,2,塔防守卫,10108,0
56,2,体育格斗,10109,0
63,2,角色扮演,10110,0
67,2,经营策略,10111,0
71,2,养成类,10112,0
74,2,挂机类,10113,1
75,2,文字游戏,10114,1
76,2,博彩类,10115,1
77,3,三国,10201,1
78,3,武侠,10202,1
79,3,修仙玄幻,10203,1
80,3,西游,10204,1
81,3,水浒,10205,1
82,3,中国古典神话,10206,1
83,3,西方神话,10207,1
84,3,80后日本动漫,10208,1
85,3,二次元动漫,10209,1
86,3,影视,10210,1
87,3,综艺,10211,1
88,3,军事战争,10212,1
89,3,科幻,10213,1
90,3,僵尸,10214,1
91,3,魔兽,10215,1
92,3,魔幻,10216,1
93,3,DOTA-LOL,10217,1
94,3,航海,10218,1
95,3,体育,10219,1
96,4,水墨,10301,1
97,4,日韩风,10302,1
98,4,日式动漫,10303,1
99,4,欧美动漫,10304,1
100,4,Q版画风,10305,1
101,4,像素风格,10306,1
102,4,暴力血腥,10307,1
103,4,欧美魔幻,10308,1
104,4,写实,10309,1
105,4,中国动漫,10310,1
6,5,切东西,1010101,1
7,5,找茬,1010102,1
8,5,减压,1010103,1
9,5,宠物,1010104,1
10,5,答题,1010105,1
11,5,捕鱼,1010106,1
12,5,音乐舞蹈,1010107,1
13,5,益智,1010108,1
14,5,冒险解谜,1010109,1
16,15,跑酷,1010201,1
17,15,赛车,1010202,1
18,15,摩托,1010203,1
19,15,赛艇,1010204,1
20,15,飞机,1010205,1
22,21,方块,1010301,1
23,21,宝石,1010302,1
24,21,连连看,1010303,1
25,21,祖玛,1010304,1
26,21,泡泡龙,1010305,1
27,21,卡通,1010306,1
29,28,角色扮演网游,1010401,1
30,28,动作竞技,1010402,1
31,28,策略,1010403,1
32,28,卡牌,1010404,1
33,28,经营模拟,1010405,1
35,34,横版,1010501,1
36,34,射击,1010502,1
37,34,3D,1010503,1
38,34,飞行,1010504,1
39,34,坦克,1010505,1
40,34,狙击,1010506,1
42,41,斗地主,1010601,1
43,41,棋类,1010602,1
44,41,麻将,1010603,1
45,41,桌游,1010604,1
46,41,德州扑克,1010605,1
47,41,纸牌,1010606,1
49,48,拼图,1010701,1
